commodity_id,commodity_name,model_name,forecast_horizon,mae,rmse,mape_pct,wape_pct,r2_score,split
emergency,Emergency,Naive Persistence,1h,4.87,10.63,56.63,42.34,0.7077,Test (15% Chronological Holdout)
emergency,Emergency,Moving Average (24h),1h,8.19,18.8,116.4,71.23,0.0864,Test (15% Chronological Holdout)
emergency,Emergency,Ridge Regularized,1h,5.99,17.27,57.71,52.12,0.2287,Test (15% Chronological Holdout)
emergency,Emergency,Gradient Boosted Trees,1h,11.39,14.4,268.85,99.03,0.4637,Test (15% Chronological Holdout)
emergency,Emergency,Naive Persistence,24h,10.88,27.0,113.95,94.94,-0.8824,Test (15% Chronological Holdout)
emergency,Emergency,Moving Average (24h),24h,11.29,24.52,165.52,98.54,-0.5527,Test (15% Chronological Holdout)
emergency,Emergency,Ridge Regularized,24h,10.13,23.38,144.7,88.39,-0.4116,Test (15% Chronological Holdout)
emergency,Emergency,Gradient Boosted Trees,24h,18.97,23.52,395.03,165.56,-0.4289,Test (15% Chronological Holdout)
food,Food,Naive Persistence,1h,3603.76,6289.37,281.06,132.77,-1.0584,Test (15% Chronological Holdout)
food,Food,Moving Average (24h),1h,2655.17,4358.6,242.48,97.82,0.0114,Test (15% Chronological Holdout)
food,Food,Ridge Regularized,1h,1844.44,3877.79,102.29,67.95,0.2175,Test (15% Chronological Holdout)
food,Food,Gradient Boosted Trees,1h,3193.88,4219.38,379.9,117.67,0.0736,Test (15% Chronological Holdout)
food,Food,Naive Persistence,24h,1119.86,3254.57,52.4,41.68,0.448,Test (15% Chronological Holdout)
food,Food,Moving Average (24h),24h,2726.69,4501.19,264.17,101.49,-0.0559,Test (15% Chronological Holdout)
food,Food,Ridge Regularized,24h,1201.43,2825.63,78.4,44.72,0.5839,Test (15% Chronological Holdout)
food,Food,Gradient Boosted Trees,24h,3123.63,4328.82,391.49,116.27,0.0234,Test (15% Chronological Holdout)
fuel,Fuel,Naive Persistence,1h,195.51,427.42,56.93,42.49,0.7049,Test (15% Chronological Holdout)
fuel,Fuel,Moving Average (24h),1h,327.63,751.81,116.92,71.19,0.0871,Test (15% Chronological Holdout)
fuel,Fuel,Ridge Regularized,1h,240.31,694.31,57.09,52.22,0.2214,Test (15% Chronological Holdout)
fuel,Fuel,Gradient Boosted Trees,1h,473.4,608.55,276.54,102.87,0.4019,Test (15% Chronological Holdout)
